Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes			Genes
PATHOGENIC ESCHERICHIA COLI INFECTION	1/198	0.531198612	0.593692566	1.335160745	0.844648448	NCK2			
RAP1 SIGNALING PATHWAY	1/210	0.552345418	0.612182838	1.257735247	0.746568591	PRKD3			
LIPID AND ATHEROSCLEROSIS	1/214	0.559182957	0.614639118	1.233865415	0.717219519	ABCA1			
HUMAN CYTOMEGALOVIRUS INFECTION	1/223	0.574192852	0.62468594	1.183303303	0.656484793	PTK2B			
THERMOGENESIS	1/229	0.583918074	0.62468594	1.151812865	0.619669091	COX7C			
CYTOSKELETON IN MUSCLE CELLS	1/230	0.585517493	0.62468594	1.146724891	0.613795069	ANK3			
RAS SIGNALING PATHWAY	1/231	0.587110846	0.62468594	1.141681159	0.60799276	PLCG2			
SALMONELLA INFECTION	1/244	0.607282494	0.641020411	1.079890261	0.538607364	RHOH			
PARKINSON DISEASE	1/263	0.635026528	0.665027782	1.000610687	0.45436581	COX7C			
PRION DISEASE	1/268	0.642000196	0.667078329	0.981622971	0.435022583	COX7C			
CYTOKINE-CYTOKINE RECEPTOR INTERACTION	1/296	0.678690325	0.699734986	0.887186441	0.343864886	IL34			
HUNTINGTON DISEASE	1/303	0.687267069	0.703127079	0.866313466	0.324895544	COX7C			
HUMAN PAPILLOMAVIRUS INFECTION	1/328	0.716094053	0.727026786	0.799062181	0.266841831	WNT3			
AMYOTROPHIC LATERAL SCLEROSIS	1/362	0.75113156	0.756821951	0.722548476	0.206774922	COX7C			
OLFACTORY TRANSDUCTION	1/443	0.818328169	0.818328169	0.587692308	0.117827511	SLC24A4			
									BLNK
